,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.2732,Sun Jun 03 23:48:56 +0000 2018,0.741,0.0,0.259,1
1,-0.6486,Sun Jun 03 23:44:28 +0000 2018,0.65,0.35,0.0,2
2,0.296,Sun Jun 03 23:37:34 +0000 2018,0.804,0.0,0.196,3
3,0.3182,Sun Jun 03 23:37:34 +0000 2018,0.839,0.0,0.161,4
4,0.5574,Sun Jun 03 23:14:51 +0000 2018,0.723,0.0,0.277,5
5,0.0,Sun Jun 03 23:12:35 +0000 2018,1.0,0.0,0.0,6
6,0.0,Sun Jun 03 23:12:34 +0000 2018,1.0,0.0,0.0,7
7,0.0,Sun Jun 03 23:12:34 +0000 2018,1.0,0.0,0.0,8
8,0.0,Sun Jun 03 23:10:15 +0000 2018,1.0,0.0,0.0,9
9,-0.1027,Sun Jun 03 20:32:04 +0000 2018,0.463,0.287,0.25,10
10,-0.34,Sun Jun 03 19:45:40 +0000 2018,0.833,0.167,0.0,11
11,0.4019,Sun Jun 03 18:11:52 +0000 2018,0.748,0.0,0.252,12
12,0.0,Sun Jun 03 16:45:10 +0000 2018,1.0,0.0,0.0,13
13,0.1655,Sun Jun 03 16:25:39 +0000 2018,0.858,0.0,0.142,14
14,-0.6597,Sun Jun 03 15:36:34 +0000 2018,0.614,0.386,0.0,15
15,-0.8316,Sun Jun 03 15:33:34 +0000 2018,0.683,0.317,0.0,16
16,0.0,Sun Jun 03 15:15:46 +0000 2018,1.0,0.0,0.0,17
17,0.0,Sun Jun 03 14:14:09 +0000 2018,1.0,0.0,0.0,18
18,-0.8316,Sun Jun 03 13:06:34 +0000 2018,0.506,0.494,0.0,19
19,0.0,Sun Jun 03 13:04:19 +0000 2018,1.0,0.0,0.0,20
20,0.0,Sun Jun 03 12:26:35 +0000 2018,1.0,0.0,0.0,21
21,-0.5994,Sun Jun 03 11:34:56 +0000 2018,0.698,0.302,0.0,22
22,-0.7184,Sun Jun 03 11:13:29 +0000 2018,0.739,0.261,0.0,23
23,-0.1027,Sun Jun 03 09:30:13 +0000 2018,0.851,0.149,0.0,24
24,-0.2263,Sun Jun 03 08:01:27 +0000 2018,0.84,0.16,0.0,25
25,0.1779,Sun Jun 03 07:29:52 +0000 2018,0.841,0.0,0.159,26
26,-0.5994,Sun Jun 03 06:45:51 +0000 2018,0.672,0.328,0.0,27
27,0.0,Sun Jun 03 05:44:02 +0000 2018,1.0,0.0,0.0,28
28,-0.25,Sun Jun 03 03:53:20 +0000 2018,0.526,0.281,0.193,29
29,-0.6124,Sun Jun 03 01:50:16 +0000 2018,0.714,0.286,0.0,30
30,-0.5267,Sun Jun 03 00:56:42 +0000 2018,0.764,0.236,0.0,31
31,0.0,Sun Jun 03 00:28:20 +0000 2018,1.0,0.0,0.0,32
32,0.0,Sun Jun 03 00:28:20 +0000 2018,1.0,0.0,0.0,33
33,0.0,Sun Jun 03 00:28:20 +0000 2018,1.0,0.0,0.0,34
34,-0.2263,Sat Jun 02 23:48:57 +0000 2018,0.808,0.192,0.0,35
35,-0.5994,Sat Jun 02 23:25:54 +0000 2018,0.672,0.328,0.0,36
36,0.0,Sat Jun 02 23:16:27 +0000 2018,1.0,0.0,0.0,37
37,-0.802,Sat Jun 02 22:50:29 +0000 2018,0.494,0.506,0.0,38
38,-0.7906,Sat Jun 02 21:30:43 +0000 2018,0.533,0.467,0.0,39
39,0.0,Sat Jun 02 20:48:47 +0000 2018,1.0,0.0,0.0,40
40,-0.6249,Sat Jun 02 20:39:41 +0000 2018,0.638,0.362,0.0,41
41,-0.5574,Sat Jun 02 17:44:42 +0000 2018,0.735,0.265,0.0,42
42,-0.765,Sat Jun 02 16:34:28 +0000 2018,0.515,0.485,0.0,43
43,0.0,Sat Jun 02 16:25:51 +0000 2018,1.0,0.0,0.0,44
44,-0.0258,Sat Jun 02 15:24:11 +0000 2018,0.571,0.219,0.21,45
