,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.3612,Mon Jun 04 00:40:35 +0000 2018,0.857,0.143,0.0,1
1,-0.34,Mon Jun 04 00:33:05 +0000 2018,0.806,0.194,0.0,2
2,-0.5859,Mon Jun 04 00:20:35 +0000 2018,0.84,0.16,0.0,3
3,0.0,Mon Jun 04 00:18:06 +0000 2018,1.0,0.0,0.0,4
4,0.0,Mon Jun 04 00:03:06 +0000 2018,1.0,0.0,0.0,5
5,0.0,Mon Jun 04 00:00:56 +0000 2018,1.0,0.0,0.0,6
6,-0.3182,Sun Jun 03 23:48:04 +0000 2018,0.796,0.204,0.0,7
7,0.0,Sun Jun 03 23:41:01 +0000 2018,1.0,0.0,0.0,8
8,0.0,Sun Jun 03 23:33:06 +0000 2018,1.0,0.0,0.0,9
9,-0.296,Sun Jun 03 23:20:30 +0000 2018,0.891,0.109,0.0,10
10,-0.3875,Sun Jun 03 23:18:06 +0000 2018,0.82,0.18,0.0,11
11,0.0,Sun Jun 03 23:03:07 +0000 2018,1.0,0.0,0.0,12
12,0.0,Sun Jun 03 23:01:02 +0000 2018,0.833,0.083,0.083,13
13,-0.5994,Sun Jun 03 22:44:40 +0000 2018,0.837,0.163,0.0,14
14,0.0,Sun Jun 03 22:30:01 +0000 2018,1.0,0.0,0.0,15
15,-0.7003,Sun Jun 03 22:14:48 +0000 2018,0.714,0.286,0.0,16
16,0.2263,Sun Jun 03 21:44:50 +0000 2018,0.913,0.0,0.087,17
17,0.0,Sun Jun 03 21:30:01 +0000 2018,1.0,0.0,0.0,18
18,0.4191,Sun Jun 03 21:14:36 +0000 2018,0.774,0.0,0.226,19
19,-0.7184,Sun Jun 03 21:12:40 +0000 2018,0.684,0.316,0.0,20
20,-0.6124,Sun Jun 03 21:03:27 +0000 2018,0.734,0.202,0.064,21
21,-0.4767,Sun Jun 03 20:40:44 +0000 2018,0.763,0.237,0.0,22
22,-0.3182,Sun Jun 03 20:20:31 +0000 2018,0.813,0.187,0.0,23
23,0.0,Sun Jun 03 20:00:34 +0000 2018,1.0,0.0,0.0,24
24,0.4215,Sun Jun 03 19:41:43 +0000 2018,0.865,0.0,0.135,25
25,0.6908,Sun Jun 03 19:21:01 +0000 2018,0.695,0.0,0.305,26
26,0.0,Sun Jun 03 19:01:24 +0000 2018,1.0,0.0,0.0,27
27,0.0,Sun Jun 03 18:39:53 +0000 2018,1.0,0.0,0.0,28
28,-0.0772,Sun Jun 03 18:20:58 +0000 2018,0.894,0.106,0.0,29
29,-0.2732,Sun Jun 03 17:59:50 +0000 2018,0.87,0.13,0.0,30
30,-0.2023,Sun Jun 03 17:44:30 +0000 2018,0.779,0.127,0.094,31
31,-0.1027,Sun Jun 03 17:27:15 +0000 2018,0.924,0.076,0.0,32
32,0.4215,Sun Jun 03 17:01:20 +0000 2018,0.823,0.0,0.177,33
33,0.0,Sun Jun 03 16:59:39 +0000 2018,1.0,0.0,0.0,34
34,-0.3818,Sun Jun 03 16:45:01 +0000 2018,0.852,0.148,0.0,35
35,-0.6433,Sun Jun 03 16:29:44 +0000 2018,0.774,0.226,0.0,36
36,0.0,Sun Jun 03 16:14:47 +0000 2018,1.0,0.0,0.0,37
37,0.0,Sun Jun 03 16:00:02 +0000 2018,1.0,0.0,0.0,38
38,0.0,Sun Jun 03 15:44:31 +0000 2018,1.0,0.0,0.0,39
39,0.0,Sun Jun 03 15:29:51 +0000 2018,1.0,0.0,0.0,40
40,-0.3182,Sun Jun 03 15:14:24 +0000 2018,0.905,0.095,0.0,41
41,-0.4019,Sun Jun 03 14:59:55 +0000 2018,0.649,0.234,0.117,42
42,-0.25,Sun Jun 03 14:44:41 +0000 2018,0.784,0.132,0.083,43
43,-0.4019,Sun Jun 03 14:36:25 +0000 2018,0.87,0.13,0.0,44
44,-0.2023,Sun Jun 03 14:14:39 +0000 2018,0.893,0.107,0.0,45
45,0.0,Sun Jun 03 14:01:02 +0000 2018,1.0,0.0,0.0,46
46,-0.296,Sun Jun 03 13:40:34 +0000 2018,0.591,0.237,0.172,47
47,-0.6486,Sun Jun 03 13:20:53 +0000 2018,0.798,0.202,0.0,48
48,-0.6249,Sun Jun 03 13:03:04 +0000 2018,0.733,0.267,0.0,49
49,-0.875,Sun Jun 03 12:48:04 +0000 2018,0.474,0.526,0.0,50
50,0.4019,Sun Jun 03 12:33:04 +0000 2018,0.838,0.0,0.162,51
51,-0.8625,Sun Jun 03 12:18:05 +0000 2018,0.538,0.462,0.0,52
52,-0.7717,Sun Jun 03 12:03:04 +0000 2018,0.691,0.309,0.0,53
53,0.0,Sun Jun 03 11:48:05 +0000 2018,1.0,0.0,0.0,54
54,0.0,Sun Jun 03 11:33:06 +0000 2018,1.0,0.0,0.0,55
55,-0.34,Sun Jun 03 11:18:08 +0000 2018,0.806,0.194,0.0,56
56,0.0,Sun Jun 03 11:03:04 +0000 2018,1.0,0.0,0.0,57
57,0.0,Sun Jun 03 10:48:04 +0000 2018,1.0,0.0,0.0,58
58,0.0,Sun Jun 03 10:33:04 +0000 2018,1.0,0.0,0.0,59
59,-0.8555,Sun Jun 03 10:18:04 +0000 2018,0.607,0.393,0.0,60
60,0.5267,Sun Jun 03 10:03:05 +0000 2018,0.746,0.0,0.254,61
61,-0.8225,Sun Jun 03 09:48:04 +0000 2018,0.513,0.487,0.0,62
62,-0.872,Sun Jun 03 09:33:04 +0000 2018,0.476,0.524,0.0,63
63,-0.2732,Sun Jun 03 09:18:05 +0000 2018,0.861,0.139,0.0,64
64,0.4588,Sun Jun 03 09:03:05 +0000 2018,0.786,0.0,0.214,65
65,-0.5994,Sun Jun 03 08:48:04 +0000 2018,0.738,0.262,0.0,66
66,-0.875,Sun Jun 03 08:33:04 +0000 2018,0.474,0.526,0.0,67
67,-0.4404,Sun Jun 03 08:18:04 +0000 2018,0.775,0.225,0.0,68
68,0.0,Sun Jun 03 08:03:05 +0000 2018,1.0,0.0,0.0,69
69,-0.8625,Sun Jun 03 07:48:04 +0000 2018,0.538,0.462,0.0,70
70,-0.1027,Sun Jun 03 07:33:04 +0000 2018,0.896,0.104,0.0,71
71,0.0,Sun Jun 03 07:18:05 +0000 2018,1.0,0.0,0.0,72
72,0.2023,Sun Jun 03 07:03:04 +0000 2018,0.847,0.0,0.153,73
73,0.0,Sun Jun 03 06:48:06 +0000 2018,1.0,0.0,0.0,74
74,0.0,Sun Jun 03 06:33:04 +0000 2018,1.0,0.0,0.0,75
75,0.0,Sun Jun 03 06:18:04 +0000 2018,1.0,0.0,0.0,76
76,0.0,Sun Jun 03 06:03:04 +0000 2018,1.0,0.0,0.0,77
77,-0.8555,Sun Jun 03 05:48:04 +0000 2018,0.607,0.393,0.0,78
78,-0.6341,Sun Jun 03 05:33:05 +0000 2018,0.73,0.27,0.0,79
79,-0.872,Sun Jun 03 05:18:05 +0000 2018,0.476,0.524,0.0,80
80,-0.34,Sun Jun 03 05:03:06 +0000 2018,0.806,0.194,0.0,81
81,0.0,Sun Jun 03 04:48:04 +0000 2018,1.0,0.0,0.0,82
82,-0.5994,Sun Jun 03 04:33:04 +0000 2018,0.738,0.262,0.0,83
83,-0.875,Sun Jun 03 04:18:04 +0000 2018,0.474,0.526,0.0,84
84,-0.6124,Sun Jun 03 04:03:05 +0000 2018,0.545,0.327,0.129,85
85,-0.296,Sun Jun 03 03:48:04 +0000 2018,0.879,0.121,0.0,86
86,0.4939,Sun Jun 03 03:33:04 +0000 2018,0.686,0.0,0.314,87
87,-0.1027,Sun Jun 03 03:18:04 +0000 2018,0.896,0.104,0.0,88
88,-0.8625,Sun Jun 03 03:03:05 +0000 2018,0.538,0.462,0.0,89
89,0.0,Sun Jun 03 02:48:05 +0000 2018,1.0,0.0,0.0,90
90,0.0,Sun Jun 03 02:33:05 +0000 2018,1.0,0.0,0.0,91
91,0.0,Sun Jun 03 02:18:04 +0000 2018,1.0,0.0,0.0,92
92,0.1531,Sun Jun 03 02:03:03 +0000 2018,0.909,0.0,0.091,93
93,-0.8225,Sun Jun 03 01:39:32 +0000 2018,0.678,0.322,0.0,94
94,-0.8225,Sun Jun 03 01:19:36 +0000 2018,0.602,0.398,0.0,95
95,-0.7096,Sun Jun 03 01:00:01 +0000 2018,0.604,0.396,0.0,96
96,0.0,Sun Jun 03 00:39:43 +0000 2018,1.0,0.0,0.0,97
97,-0.1779,Sun Jun 03 00:19:54 +0000 2018,0.795,0.117,0.088,98
98,-0.2263,Sat Jun 02 23:59:31 +0000 2018,0.913,0.087,0.0,99
99,0.3182,Sat Jun 02 23:39:44 +0000 2018,0.887,0.0,0.113,100
