,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.4939,Mon Jun 04 00:30:03 +0000 2018,0.862,0.0,0.138,1
1,-0.8316,Mon Jun 04 00:15:07 +0000 2018,0.536,0.464,0.0,2
2,0.0,Mon Jun 04 00:00:09 +0000 2018,1.0,0.0,0.0,3
3,0.0,Sun Jun 03 23:45:02 +0000 2018,1.0,0.0,0.0,4
4,-0.7269,Sun Jun 03 23:30:50 +0000 2018,0.647,0.353,0.0,5
5,-0.2263,Sun Jun 03 23:15:08 +0000 2018,0.755,0.151,0.094,6
6,0.0,Sun Jun 03 23:00:04 +0000 2018,1.0,0.0,0.0,7
7,0.34,Sun Jun 03 22:45:04 +0000 2018,0.833,0.0,0.167,8
8,0.5267,Sun Jun 03 22:30:09 +0000 2018,0.746,0.0,0.254,9
9,0.34,Sun Jun 03 22:15:05 +0000 2018,0.657,0.111,0.232,10
10,0.0,Sun Jun 03 22:00:10 +0000 2018,1.0,0.0,0.0,11
11,0.1531,Sun Jun 03 21:52:05 +0000 2018,0.685,0.137,0.178,12
12,-0.3612,Sun Jun 03 21:45:06 +0000 2018,0.848,0.152,0.0,13
13,0.0,Sun Jun 03 21:30:13 +0000 2018,1.0,0.0,0.0,14
14,0.0,Sun Jun 03 21:15:03 +0000 2018,1.0,0.0,0.0,15
15,0.0,Sun Jun 03 21:00:07 +0000 2018,1.0,0.0,0.0,16
16,-0.0772,Sun Jun 03 20:45:12 +0000 2018,0.86,0.14,0.0,17
17,0.0,Sun Jun 03 20:30:11 +0000 2018,1.0,0.0,0.0,18
18,-0.6369,Sun Jun 03 20:15:09 +0000 2018,0.704,0.296,0.0,19
19,0.4588,Sun Jun 03 20:00:18 +0000 2018,0.824,0.0,0.176,20
20,0.0,Sun Jun 03 19:45:08 +0000 2018,1.0,0.0,0.0,21
21,-0.8807,Sun Jun 03 19:30:03 +0000 2018,0.579,0.421,0.0,22
22,0.0,Sun Jun 03 19:15:06 +0000 2018,1.0,0.0,0.0,23
23,-0.3182,Sun Jun 03 19:00:09 +0000 2018,0.859,0.141,0.0,24
24,-0.6671,Sun Jun 03 18:45:03 +0000 2018,0.496,0.375,0.129,25
25,-0.5106,Sun Jun 03 18:30:06 +0000 2018,0.777,0.223,0.0,26
26,0.0,Sun Jun 03 18:15:07 +0000 2018,1.0,0.0,0.0,27
27,-0.296,Sun Jun 03 18:00:10 +0000 2018,0.864,0.136,0.0,28
28,0.4019,Sun Jun 03 17:45:09 +0000 2018,0.847,0.0,0.153,29
29,-0.4939,Sun Jun 03 17:30:15 +0000 2018,0.758,0.242,0.0,30
30,0.0,Sun Jun 03 17:15:08 +0000 2018,1.0,0.0,0.0,31
31,-0.25,Sun Jun 03 17:00:11 +0000 2018,0.833,0.167,0.0,32
32,-0.5574,Sun Jun 03 16:45:09 +0000 2018,0.735,0.265,0.0,33
33,0.0,Sun Jun 03 16:30:13 +0000 2018,1.0,0.0,0.0,34
34,0.0,Sun Jun 03 16:15:53 +0000 2018,1.0,0.0,0.0,35
35,0.0,Sun Jun 03 16:00:09 +0000 2018,1.0,0.0,0.0,36
36,-0.7269,Sun Jun 03 15:45:08 +0000 2018,0.608,0.392,0.0,37
37,-0.34,Sun Jun 03 15:30:19 +0000 2018,0.87,0.13,0.0,38
38,-0.2732,Sun Jun 03 15:00:13 +0000 2018,0.884,0.116,0.0,39
39,-0.1027,Sun Jun 03 14:45:05 +0000 2018,0.92,0.08,0.0,40
40,-0.802,Sun Jun 03 14:30:06 +0000 2018,0.647,0.353,0.0,41
41,-0.8316,Sun Jun 03 14:00:23 +0000 2018,0.672,0.328,0.0,42
