,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.3182,Mon Jun 04 00:41:00 +0000 2018,0.839,0.0,0.161,1
1,-0.8176,Mon Jun 04 00:32:33 +0000 2018,0.615,0.385,0.0,2
2,-0.4404,Mon Jun 04 00:22:25 +0000 2018,0.503,0.34,0.157,3
3,-0.5574,Mon Jun 04 00:17:15 +0000 2018,0.714,0.286,0.0,4
4,-0.4404,Mon Jun 04 00:12:15 +0000 2018,0.868,0.132,0.0,5
5,0.6369,Mon Jun 04 00:04:41 +0000 2018,0.754,0.0,0.246,6
6,0.128,Sun Jun 03 23:59:06 +0000 2018,0.824,0.0,0.176,7
7,-0.5423,Sun Jun 03 23:54:14 +0000 2018,0.741,0.259,0.0,8
8,0.0,Sun Jun 03 23:48:34 +0000 2018,1.0,0.0,0.0,9
9,-0.5096,Sun Jun 03 23:39:24 +0000 2018,0.777,0.223,0.0,10
10,0.3595,Sun Jun 03 23:39:00 +0000 2018,0.849,0.0,0.151,11
11,0.0,Sun Jun 03 23:18:00 +0000 2018,1.0,0.0,0.0,12
12,0.1154,Sun Jun 03 23:12:02 +0000 2018,0.925,0.0,0.075,13
13,0.5423,Sun Jun 03 22:55:08 +0000 2018,0.464,0.152,0.384,14
14,-0.8519,Sun Jun 03 22:49:46 +0000 2018,0.537,0.41,0.054,15
15,0.0,Sun Jun 03 22:39:42 +0000 2018,1.0,0.0,0.0,16
16,0.0,Sun Jun 03 22:34:28 +0000 2018,1.0,0.0,0.0,17
17,0.2732,Sun Jun 03 22:22:00 +0000 2018,0.792,0.0,0.208,18
18,0.0,Sun Jun 03 22:15:00 +0000 2018,1.0,0.0,0.0,19
19,-0.6249,Sun Jun 03 22:07:00 +0000 2018,0.661,0.339,0.0,20
20,0.0,Sun Jun 03 21:58:00 +0000 2018,1.0,0.0,0.0,21
21,0.3612,Sun Jun 03 21:49:00 +0000 2018,0.884,0.0,0.116,22
22,-0.5207,Sun Jun 03 21:42:12 +0000 2018,0.796,0.204,0.0,23
23,0.128,Sun Jun 03 21:40:00 +0000 2018,0.683,0.143,0.174,24
24,0.0,Sun Jun 03 21:30:00 +0000 2018,1.0,0.0,0.0,25
25,0.7096,Sun Jun 03 21:22:00 +0000 2018,0.576,0.091,0.333,26
26,-0.2263,Sun Jun 03 21:16:21 +0000 2018,0.872,0.128,0.0,27
27,0.0,Sun Jun 03 21:04:43 +0000 2018,1.0,0.0,0.0,28
28,0.3262,Sun Jun 03 21:00:00 +0000 2018,0.873,0.0,0.127,29
29,0.7557,Sun Jun 03 21:00:00 +0000 2018,0.707,0.0,0.293,30
30,-0.5994,Sun Jun 03 20:57:21 +0000 2018,0.692,0.308,0.0,31
31,0.0,Sun Jun 03 20:52:20 +0000 2018,1.0,0.0,0.0,32
32,-0.2023,Sun Jun 03 20:45:36 +0000 2018,0.893,0.107,0.0,33
33,0.2732,Sun Jun 03 20:45:22 +0000 2018,0.896,0.0,0.104,34
34,0.0,Sun Jun 03 20:38:33 +0000 2018,1.0,0.0,0.0,35
35,-0.6249,Sun Jun 03 20:36:40 +0000 2018,0.537,0.332,0.132,36
36,-0.872,Sun Jun 03 20:25:30 +0000 2018,0.524,0.476,0.0,37
37,0.0,Sun Jun 03 20:16:38 +0000 2018,1.0,0.0,0.0,38
38,-0.0258,Sun Jun 03 20:05:17 +0000 2018,0.697,0.154,0.149,39
39,-0.6486,Sun Jun 03 19:53:57 +0000 2018,0.694,0.306,0.0,40
40,0.5106,Sun Jun 03 19:44:00 +0000 2018,0.708,0.0,0.292,41
41,0.0,Sun Jun 03 19:38:00 +0000 2018,1.0,0.0,0.0,42
42,-0.6597,Sun Jun 03 19:31:06 +0000 2018,0.694,0.306,0.0,43
43,-0.8176,Sun Jun 03 19:27:00 +0000 2018,0.615,0.385,0.0,44
44,-0.8316,Sun Jun 03 19:21:00 +0000 2018,0.43,0.457,0.113,45
45,-0.4939,Sun Jun 03 19:15:01 +0000 2018,0.758,0.242,0.0,46
46,-0.3612,Sun Jun 03 19:15:00 +0000 2018,0.857,0.143,0.0,47
