,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Mon Jun 04 00:45:04 +0000 2018,1.0,0.0,0.0,1
1,0.0,Mon Jun 04 00:33:56 +0000 2018,1.0,0.0,0.0,2
2,0.1027,Mon Jun 04 00:32:05 +0000 2018,0.931,0.0,0.069,3
3,-0.4767,Mon Jun 04 00:29:25 +0000 2018,0.617,0.383,0.0,4
4,0.0,Mon Jun 04 00:22:53 +0000 2018,1.0,0.0,0.0,5
5,-0.4404,Mon Jun 04 00:05:38 +0000 2018,0.786,0.148,0.066,6
6,0.4939,Sun Jun 03 23:50:01 +0000 2018,0.862,0.0,0.138,7
7,0.5859,Sun Jun 03 23:33:57 +0000 2018,0.725,0.0,0.275,8
8,0.0,Sun Jun 03 23:15:36 +0000 2018,1.0,0.0,0.0,9
9,0.2516,Sun Jun 03 23:13:21 +0000 2018,0.809,0.071,0.119,10
10,-0.5106,Sun Jun 03 22:56:39 +0000 2018,0.858,0.142,0.0,11
11,0.0,Sun Jun 03 22:40:07 +0000 2018,1.0,0.0,0.0,12
12,0.2263,Sun Jun 03 22:27:43 +0000 2018,0.735,0.114,0.151,13
13,-0.25,Sun Jun 03 22:09:45 +0000 2018,0.333,0.667,0.0,14
14,-0.8225,Sun Jun 03 22:00:29 +0000 2018,0.568,0.432,0.0,15
15,0.3818,Sun Jun 03 22:00:06 +0000 2018,0.697,0.098,0.205,16
16,0.6808,Sun Jun 03 21:46:19 +0000 2018,0.641,0.0,0.359,17
17,-0.5574,Sun Jun 03 21:45:04 +0000 2018,0.847,0.153,0.0,18
18,0.8225,Sun Jun 03 21:30:09 +0000 2018,0.619,0.0,0.381,19
19,0.0,Sun Jun 03 21:23:21 +0000 2018,1.0,0.0,0.0,20
20,0.0,Sun Jun 03 21:15:06 +0000 2018,1.0,0.0,0.0,21
21,-0.1779,Sun Jun 03 21:07:06 +0000 2018,0.909,0.091,0.0,22
22,0.1779,Sun Jun 03 21:00:10 +0000 2018,0.909,0.0,0.091,23
23,-0.7351,Sun Jun 03 20:51:06 +0000 2018,0.677,0.323,0.0,24
24,0.0,Sun Jun 03 20:45:10 +0000 2018,1.0,0.0,0.0,25
25,-0.34,Sun Jun 03 20:37:04 +0000 2018,0.714,0.174,0.112,26
26,-0.3182,Sun Jun 03 20:30:12 +0000 2018,0.905,0.095,0.0,27
27,0.0,Sun Jun 03 20:22:05 +0000 2018,1.0,0.0,0.0,28
28,0.802,Sun Jun 03 20:15:06 +0000 2018,0.56,0.076,0.364,29
29,0.0,Sun Jun 03 20:00:17 +0000 2018,1.0,0.0,0.0,30
30,-0.4404,Sun Jun 03 19:45:07 +0000 2018,0.786,0.148,0.066,31
31,0.4588,Sun Jun 03 19:37:07 +0000 2018,0.87,0.0,0.13,32
32,-0.376,Sun Jun 03 19:30:01 +0000 2018,0.855,0.145,0.0,33
33,-0.3612,Sun Jun 03 19:15:05 +0000 2018,0.717,0.175,0.108,34
34,-0.6486,Sun Jun 03 19:00:18 +0000 2018,0.788,0.212,0.0,35
35,0.1027,Sun Jun 03 18:56:46 +0000 2018,0.949,0.0,0.051,36
36,-0.4404,Sun Jun 03 18:45:02 +0000 2018,0.818,0.182,0.0,37
37,0.0,Sun Jun 03 18:30:11 +0000 2018,1.0,0.0,0.0,38
38,0.1531,Sun Jun 03 18:20:35 +0000 2018,0.922,0.0,0.078,39
39,-0.5256,Sun Jun 03 18:15:06 +0000 2018,0.841,0.159,0.0,40
40,0.4404,Sun Jun 03 18:00:19 +0000 2018,0.69,0.108,0.202,41
41,0.0,Sun Jun 03 17:45:07 +0000 2018,1.0,0.0,0.0,42
42,0.2023,Sun Jun 03 17:30:14 +0000 2018,0.833,0.0,0.167,43
43,-0.802,Sun Jun 03 17:15:12 +0000 2018,0.714,0.286,0.0,44
44,-0.5106,Sun Jun 03 17:00:09 +0000 2018,0.858,0.142,0.0,45
45,0.4767,Sun Jun 03 16:45:08 +0000 2018,0.846,0.0,0.154,46
46,0.0,Sun Jun 03 16:30:03 +0000 2018,1.0,0.0,0.0,47
47,0.3818,Sun Jun 03 16:15:06 +0000 2018,0.88,0.0,0.12,48
48,-0.7351,Sun Jun 03 16:00:09 +0000 2018,0.616,0.286,0.098,49
49,-0.2565,Sun Jun 03 15:45:05 +0000 2018,0.663,0.213,0.124,50
50,0.0,Sun Jun 03 15:30:16 +0000 2018,1.0,0.0,0.0,51
51,0.0,Sun Jun 03 15:15:09 +0000 2018,1.0,0.0,0.0,52
52,0.7845,Sun Jun 03 15:00:08 +0000 2018,0.669,0.0,0.331,53
53,-0.7269,Sun Jun 03 14:45:07 +0000 2018,0.747,0.253,0.0,54
54,-0.6597,Sun Jun 03 14:30:02 +0000 2018,0.804,0.196,0.0,55
55,0.0,Sun Jun 03 14:20:03 +0000 2018,1.0,0.0,0.0,56
56,-0.3818,Sun Jun 03 14:12:01 +0000 2018,0.874,0.126,0.0,57
57,0.0,Sun Jun 03 13:57:04 +0000 2018,1.0,0.0,0.0,58
58,0.0,Sun Jun 03 13:39:38 +0000 2018,1.0,0.0,0.0,59
59,0.4939,Sun Jun 03 13:30:07 +0000 2018,0.811,0.0,0.189,60
60,0.0,Sun Jun 03 13:06:33 +0000 2018,1.0,0.0,0.0,61
61,-0.34,Sun Jun 03 13:00:05 +0000 2018,0.888,0.112,0.0,62
62,0.0,Sun Jun 03 12:48:15 +0000 2018,1.0,0.0,0.0,63
63,0.4995,Sun Jun 03 12:30:06 +0000 2018,0.818,0.0,0.182,64
64,0.5106,Sun Jun 03 12:00:13 +0000 2018,0.852,0.0,0.148,65
65,-0.3612,Sun Jun 03 11:45:30 +0000 2018,0.578,0.254,0.168,66
66,0.0,Sun Jun 03 11:30:10 +0000 2018,1.0,0.0,0.0,67
67,0.5994,Sun Jun 03 11:00:05 +0000 2018,0.776,0.0,0.224,68
68,0.4215,Sun Jun 03 10:52:43 +0000 2018,0.781,0.0,0.219,69
69,0.0,Sun Jun 03 10:38:30 +0000 2018,1.0,0.0,0.0,70
70,0.0,Sun Jun 03 10:36:15 +0000 2018,1.0,0.0,0.0,71
71,0.2716,Sun Jun 03 10:30:08 +0000 2018,0.87,0.0,0.13,72
72,0.6369,Sun Jun 03 10:00:16 +0000 2018,0.833,0.0,0.167,73
73,-0.3182,Sun Jun 03 09:33:36 +0000 2018,0.71,0.18,0.109,74
74,-0.34,Sun Jun 03 09:16:43 +0000 2018,0.888,0.112,0.0,75
75,0.0,Sun Jun 03 09:00:18 +0000 2018,1.0,0.0,0.0,76
76,-0.34,Sun Jun 03 08:42:13 +0000 2018,0.854,0.146,0.0,77
77,-0.296,Sun Jun 03 08:27:09 +0000 2018,0.901,0.099,0.0,78
78,0.9001,Sun Jun 03 08:10:35 +0000 2018,0.519,0.0,0.481,79
79,-0.5994,Sun Jun 03 07:53:31 +0000 2018,0.637,0.255,0.109,80
80,0.5106,Sun Jun 03 07:36:56 +0000 2018,0.858,0.0,0.142,81
81,0.0,Sun Jun 03 07:20:12 +0000 2018,1.0,0.0,0.0,82
82,0.5719,Sun Jun 03 07:03:22 +0000 2018,0.734,0.0,0.266,83
83,-0.0516,Sun Jun 03 06:46:33 +0000 2018,0.616,0.196,0.188,84
84,-0.3182,Sun Jun 03 06:29:54 +0000 2018,0.874,0.126,0.0,85
85,0.4767,Sun Jun 03 06:13:24 +0000 2018,0.846,0.0,0.154,86
86,0.0,Sun Jun 03 05:55:23 +0000 2018,1.0,0.0,0.0,87
87,0.2263,Sun Jun 03 05:38:31 +0000 2018,0.881,0.0,0.119,88
88,0.0,Sun Jun 03 05:21:26 +0000 2018,1.0,0.0,0.0,89
89,0.3291,Sun Jun 03 05:03:44 +0000 2018,0.821,0.0,0.179,90
90,0.0,Sun Jun 03 04:45:28 +0000 2018,1.0,0.0,0.0,91
91,-0.8442,Sun Jun 03 04:27:35 +0000 2018,0.637,0.363,0.0,92
92,0.4019,Sun Jun 03 04:11:02 +0000 2018,0.591,0.113,0.296,93
93,0.0,Sun Jun 03 03:53:52 +0000 2018,1.0,0.0,0.0,94
94,-0.5574,Sun Jun 03 03:49:19 +0000 2018,0.816,0.184,0.0,95
95,0.0,Sun Jun 03 03:31:24 +0000 2018,1.0,0.0,0.0,96
96,0.5267,Sun Jun 03 03:12:46 +0000 2018,0.805,0.0,0.195,97
97,-0.3248,Sun Jun 03 02:56:32 +0000 2018,0.775,0.149,0.076,98
98,0.0,Sun Jun 03 02:38:31 +0000 2018,1.0,0.0,0.0,99
99,0.0,Sun Jun 03 02:21:07 +0000 2018,1.0,0.0,0.0,100
